user_name;tweet;personal (0=no, 1=yes);tweet_proc
bt_amputation;Example of how vital foot care is for #diabetic patient https://t.co/PfpQkLwS1e #amputation;0;['exampl', 'vital', 'foot', 'care', 'diabet', 'patient', 'URL', 'amput']
UpdateonScience;https://t.co/UcIwzK1Tse A computer-generated physician, now under development, explains diabetes and cholesterol te… https://t.co/5kwsFTkbEr;0;['URL', 'computer-gener', 'physician', 'develop', 'explain', 'diabet', 'cholesterol', 'te', 'URL']
PCM_tweets;Going to #vacation with #insulin? Order savENRG Cool packs for reliable temperature control:… https://t.co/pPpV0ZKi6e;0;['go', 'vacat', 'insulin', 'order', 'savenrg', 'cool', 'pack', 'reliabl', 'temperatur', 'control', 'URL']
NasimMirdamad;Blood glucose meters saves NHS £25 million - Medical Plastics News https://t.co/KqkOJintXL;0;['blood', 'glucos', 'meter', 'save', 'nhs', '25', 'million', 'medic', 'plastic', 'news', 'URL']
COpediatricEM;@CUDeptofPeds MD Arleta Rewers et al: in kids w T1 #diabetes, matrix metalloproteinases differ by presence of #DKA… https://t.co/cxZtISgVsI;0;['USER', 'md', 'arleta', 'rewer', 'et', 'al', 'kid', 'w', 't1', 'diabet', 'matrix', 'metalloproteinas', 'differ', 'presenc', 'dka', 'URL']
MariStreamlined;Sugar raises your blood sugar and spikes insulin, leading to that dreaded belly fat and disease. #health https://t.co/hit4SZPh1P;0;['sugar', 'rais', 'blood', 'sugar', 'spike', 'insulin', 'lead', 'dread', 'belli', 'fat', 'diseas', 'health', 'URL']
EFPIA;Cell therapy could remove the need for constant insulin therapy #WeWontRest Find out more: https://t.co/Mq4MkYsLdu https://t.co/PbJxNeCfiu;0;['cell', 'therapi', 'could', 'remov', 'need', 'constant', 'insulin', 'therapi', 'wewontrest', 'find', 'URL', 'URL']
cruszaa;#RolfHarris BANNED from scoffing chocolate in jail after diabetes hospital dash #RolfHarris https://t.co/MUEdBO7DaX;0;['rolfharri', 'ban', 'scoff', 'chocol', 'jail', 'diabet', 'hospit', 'dash', 'rolfharri', 'URL']
JWatch;Most pts w/ non-insulin-treated diabetes self-monitor blood glucose, but should they? https://t.co/IT8c2EQfN0 @NEJM https://t.co/3Mt4ZhJX8y;0;['pts', 'w', 'non-insulin-tr', 'diabet', 'self-monitor', 'blood', 'glucos', 'URL', 'USER', 'URL']
AcademicTrnsfr;Arts-onderzoeker diabetes en personalized medicine https://t.co/WdIT2L1F22 @UMCG;0;['arts-onderzoek', 'diabet', 'en', 'person', 'medicin', 'URL', 'USER']
SpoolandThimble;@Ciaraioch Food choices do not equal diabetes, unless I have a lot (more) to blame my mother for??;1;['USER', 'food', 'choic', 'equal', 'diabet', 'unless', 'i', 'lot', 'blame', 'my', 'mother']
PLOSMedicine;I think this is a message we'll hear more than once over the next few days: prevent obesity to prevent diabetes #ADA2017;1;['i', 'think', 'messag', 'hear', 'next', 'day', 'prevent', 'obes', 'prevent', 'diabet', 'ada', '2017']
MarkDuman;@NICEcomms Updated Guidance: Type 2 #diabetes in adults: management https://t.co/IcFH0tluFP;1;['USER', 'updat', 'guidanc', 'TYPETWO', 'diabet', 'adult', 'manag', 'URL']
NigeriaDaiily;Four million Nigerians have Type 2 diabetes — Study https://t.co/16803jOziy #Nigeria #News;0;['four', 'million', 'nigerian', 'TYPETWO', 'diabet', 'studi', 'URL', 'nigeria', 'news']
productsearchon;Give this a read 👉 New scientific research uncovered how to treat the root cause of diabetes… https://t.co/difkwl4b6c;0;['give', 'read', 'new', 'scientif', 'research', 'uncov', 'treat', 'root', 'diabet', 'URL']
tonygwillis;@HSJ_Awards @dePoelHC Delighted that NWL #diabetes transformation programme are Primary Care Innovation finalists… https://t.co/FyxAQItF89;1;['USER', 'USER', 'delight', 'nwl', 'diabet', 'transform', 'programm', 'primari', 'care', 'innov', 'finalist', 'URL']
chrisbyrne;Just gave myself my first ever self administered insulin injection... 24 units of novalog. Rather different than... https://t.co/OFXDxA2FhX;1;['give', 'myself', 'my', 'first', 'ever', 'self', 'administ', 'insulin', 'inject', '24', 'unit', 'novalog', 'rather', 'differ', 'URL']
healthyliving_g;“96% of type 2 diabetics were able to completely stop insulin injections. While Type 1’s reduced their doses by... https://t.co/ZCQDikXCAE;0;['96', 'TYPETWO', 'diabet', 'abl', 'complet', 'stop', 'insulin', 'inject', 'TYPEONE', 'reduc', 'dose', 'URL']
jsidenei_melo;People who drink 3 to 4 times per week less likely to develop diabetes https://t.co/CTa9VQCK0P;0;['peopl', 'drink', '3', '4', 'time', 'per', 'week', 'less', 'like', 'develop', 'diabet', 'URL']
LiberalIsland;Revenge is mine .. and lower blood glucose level #diabetes https://t.co/PVzmHSepNF;1;['reveng', 'mine', 'lower', 'blood', 'glucos', 'level', 'diabet', 'URL']
DiabetesIQ;#poll #QUIZ Which of the following is NOT a symptom of #diabetes? #doc;0;['poll', 'quiz', 'follow', 'symptom', 'diabet', 'doc']
NCDChild;Patient voice: When I think abt not having my insulin, it frightens me. People are dying from lack of this access. @Blue_Sugar_Cube #WHA70;1;['patient', 'voic', 'i', 'think', 'abt', 'my', 'insulin', 'frighten', 'me', 'peopl', 'die', 'lack', 'access', 'USER', 'wha', '70']
NewsInLongevity;Research opens the door to improved drugs for type 2 diabetes https://t.co/ItHf0vTuKP;0;['research', 'open', 'door', 'improv', 'drug', 'TYPETWO', 'diabet', 'URL']
DiabetesCCUK;Diabetes and life expectancy: What effect does type 2 diabetes have? https://t.co/Vwsj4f4E43;0;['diabet', 'life', 'expect', 'effect', 'TYPETWO', 'diabet', 'URL']
ActivationPros;Balance Blood Sugar Naturally With These Herbs and Supplements https://t.co/DbRu1zWiIU #health #diabetes https://t.co/l5ilqwzqzP;0;['balanc', 'blood', 'sugar', 'natur', 'herb', 'supplement', 'URL', 'health', 'diabet', 'URL']
gagiano_lizel;Annual diabetes checks ‘halve’ mortality rates, analysis finds https://t.co/nxgPxvGZQE;1;['annual', 'diabet', 'check', 'halv', 'mortal', 'rat', 'analysi', 'find', 'URL']
BatonRougeEndo;Exercise can reduce your colon cancer risk by reducing insulin levels.;0;['exercis', 'reduc', 'colon', 'cancer', 'risk', 'reduc', 'insulin', 'level']
LighthorneGPs;#Health News from today's - Daily Mail #Leamington #Warwick Eating at night raises risk of diabetes and heart d... https://t.co/9knT0Orxmv;0;['health', 'news', 'today', 'daili', 'mail', 'leamington', 'warwick', 'eat', 'night', 'rais', 'risk', 'diabet', 'heart', 'URL']
JAHA_AHA;Ranolazine doesn't change exercise‐stimulated myocrdl blood flow in symptomatic diabetic patients w/o obstructve CA… https://t.co/J3Sgg4vJSE;0;['ranolazin', 'chang', 'exercis', 'stimul', 'myocrdl', 'blood', 'flow', 'symptomat', 'diabet', 'patient', 'w', 'obstructv', 'ca', 'URL']
lijimae2012;Type 2 diabetes risk four times higher in women with PCOS https://t.co/SlKYT1FYcL https://t.co/pLX2EOOT3R;0;['TYPETWO', 'diabet', 'risk', 'four', 'time', 'higher', 'women', 'pcos', 'URL', 'URL']
heyitskay_xo;I definitely can't catch a break. Bronchitis and diabetes don't mix well.😿😭;1;['i', 'definit', 'cannot', 'catch', 'break', 'bronchiti', 'diabet', 'mix', 'well', 'EMOT_CRY', 'EMOT_CRY']
RamiBasatneh;Considering diabetic amputations have the second highest 5 year mortality rate among diseases, potential for preven… https://t.co/uzvS7h60Fb;1;['consid', 'diabet', 'amput', 'second', 'highest', '5', 'year', 'mortal', 'rate', 'among', 'diseas', 'potenti', 'preven', 'URL']
MikeTheArtGuy;Fucking bullshit way to live. So tired of all of this garbage. #dialysis #diabetes #family #america #Healthcare #everythingiswrong;1;['fuck', 'bullshit', 'way', 'live', 'tire', 'garbag', 'dialysi', 'diabet', 'famili', 'america', 'healthcar', 'everythingiswrong']
balsamforhealth;Poor sleep can drive insulin resistance, reduce your physical and mental performance. #dubai30x30 #تحديـدبيـللياقة;0;['poor', 'sleep', 'drive', 'insulin', 'resist', 'reduc', 'physic', 'mental', 'perform', 'dubai', '30x30']
kimmeh_bot;I want to go into a diabetic coma.;1;['i', 'want', 'go', 'diabet', 'coma']
ManchVegasAlert;MEDICAL: ALS 2 alpha response. Eastern Ave for a diabetic problem. Old Wellington and Karatzas. Tac 2;0;['medic', 'al', '2', 'alpha', 'respons', 'eastern', 'ave', 'diabet', 'problem', 'old', 'wellington', 'karatza', 'tac', '2']
PrincetonPapers;If glucose is heated on the concentrationtetraoxosulphat https://t.co/4D4YxlAfRl;0;['glucos', 'heat', 'concentrationtetraoxosulphat', 'URL']
ERJournals;Using genetics to inform new therapeutics for diabetes https://t.co/Iw9nX0wdV9;0;['use', 'genet', 'inform', 'new', 'therapeut', 'diabet', 'URL']
Am_Veterinarian;A study found that 1/4 diabetic #cats studied had #acromegaly. Whether that is the same in the US is unknown. https://t.co/PD9y7a37ui;0;['studi', 'find', '1/4', 'diabet', 'cat', 'studi', 'acromegali', 'whether', 'us', 'unknown', 'URL']
BCH_Innovation;Breaking news from @scienmag: The molecule that could fix iron-transport disorders like anemia, diabetes and more:… https://t.co/EEJEFzmTuu;0;['break', 'news', 'USER', 'molecul', 'could', 'fix', 'iron-transport', 'disord', 'like', 'anemia', 'diabet', 'URL']
MatthewWRossi;@danielwhitcomb I'm a diabetic bisexual in my 40's going blind and if I didn't live in Canada I would likely alread… https://t.co/iFLNNvvWR3;1;['USER', 'i', 'diabet', 'bisexu', 'my', '40', 'go', 'blind', 'i', 'live', 'canada', 'i', 'would', 'like', 'alread', 'URL']
JohnHMCrichton;FreeStyle Libre for glucose monitoring | Guidance and guidelines | NICE https://t.co/3DexR4hK4y;1;['freestyl', 'libr', 'glucos', 'monitor', 'guidanc', 'guidelin', 'nice', 'URL']
vivanel;Simple test predicts diabetes remission following weight loss surgery #weight_loss https://t.co/H9ze6lXcTK - get co… https://t.co/Ruxji9TdvF;0;['simpl', 'test', 'predict', 'diabet', 'remiss', 'follow', 'weight', 'loss', 'surgeri', 'weight_loss', 'URL', 'get', 'co', 'URL']
PARANOIDISMS;Fun Fact: Arthur's diabetic.;0;['fun', 'fact', 'arthur', 'diabet']
vascphyspapers;Retinal vascular geometry and its association to microvascular complications in patients with type 1 diabetes: the… https://t.co/mz6JdpdcfK;0;['retin', 'vascular', 'geometri', 'associ', 'microvascular', 'complic', 'patient', 'TYPEONE', 'diabet', 'URL']
nybhealth;Resistance #exercise, #strength training may help stave off #heart, #diabetes risk https://t.co/PMy2HJo1om #HDL... https://t.co/J4OEmJYh9F;0;['resist', 'exercis', 'strength', 'train', 'may', 'help', 'stave', 'heart', 'diabet', 'risk', 'URL', 'hdl', 'URL']
DVCharlotteMari;How to Pronounce Bootshat ↺RT❤ https://t.co/M6O5iEUljW #mere #diabetes #point #basic #manifest #bare #sparetire #abdomen;0;['pronounc', 'bootshat', 'rt', 'EMOT_LOVE', 'URL', 'mere', 'diabet', 'point', 'basic', 'manifest', 'bare', 'sparetir', 'abdomen']
StaffordCCG;"#DiabetesAwareness: ""I can't drink if  have diabetes"" Fact or myth? Read more online &amp; useful FAQs about #diabetes https://t.co/pMHN4ZOpDS";0;['diabetesawar', 'i', 'cannot', 'drink', 'diabet', 'fact', 'myth', 'read', 'onlin', 'use', 'faq', 'diabet', 'URL']
lowcarbyum;Best Diet to Lower Blood Sugar Levels https://t.co/N0JtvxzbWl #diabetes https://t.co/gStbcazB09;0;['best', 'diet', 'lower', 'blood', 'sugar', 'level', 'URL', 'diabet', 'URL']
DrAseemMalhotra;"A big coup for changing diet guidelines &amp; reversing the type 2 diabetes &amp; #obesity epidemic https://t.co/lOyy6wrcak https://t.co/Xvq6FiugsZ";0;['big', 'coup', 'chang', 'diet', 'guidelin', 'revers', 'TYPETWO', 'diabet', 'obes', 'epidem', 'URL', 'URL']
JiveNottingham;'Student, 21, with type 1 diabetes dies after catching STOMACH BUG' https://t.co/KcnR8hyUyq;0;['student', '21', 'TYPEONE', 'diabet', 'die', 'catch', 'stomach', 'bug', 'URL']
BCUNP2;Cold environment reduces risk of gestational diabetes https://t.co/qTmMnKbzxu;0;['cold', 'environ', 'reduc', 'risk', 'gestat', 'diabet', 'URL']
HERIB1;If you’re #diabetic your eyes should be screened every year by your local diabetic eye screening service https://t.co/jRBOds8qen;0;['diabet', 'eye', 'screen', 'everi', 'year', 'local', 'diabet', 'eye', 'screen', 'servic', 'URL']
sogotechnews;Implanting pancreatic cells in your gut could cure diabetes #tech https://t.co/1wu21EXOFx https://t.co/a2RkUWdzf4;0;['implant', 'pancreat', 'cell', 'gut', 'could', 'cure', 'diabet', 'tech', 'URL', 'URL']
ArieBlitzMD;#Entresto might enhance glycaemic control in patients with diabetes and HFrEF. https://t.co/L5q6DEetjd #cardiology… https://t.co/IVHR5WWqIk;0;['entresto', 'might', 'enhanc', 'glycaem', 'control', 'patient', 'diabet', 'hfref', 'URL', 'cardiolog', 'URL']
LolaAnnReade;Tweetchat Profile Highlight: #Lyfechat #diabetes community Twitter chat with @LyfeBulb founder @KarinLyfebulb… https://t.co/Pup6pUZnve;0;['tweetchat', 'profil', 'highlight', 'lyfechat', 'diabet', 'communiti', 'twitter', 'chat', 'USER', 'founder', 'USER', 'URL']
citygirlbites;"Dairy (espec yogurt &amp; cheese) decreases the risk #diabetes via Dr. Mozaffarian @nyuschoolofmed. Possible mechanisms… https://t.co/RWIfD7d1Pi";0;['dairi', 'espec', 'yogurt', 'chees', 'decreas', 'risk', 'diabet', 'via', 'dr', 'mozaffarian', 'USER', 'possibl', 'mechan', 'URL']
ACLifeMed;"Plantbased diet may be most effective to prevent&amp;reverse diabetes .Satfat promotes insulin resistance… https://t.co/eramkOZ7zL";0;['plantbas', 'diet', 'may', 'effect', 'prevent', 'revers', 'diabet', 'satfat', 'promot', 'insulin', 'resist', 'URL']
NutritionWonk;@keithlovesfood A glucose control;0;['USER', 'glucos', 'control']
fair_ac;Facing the scourge of diabetes in Africa, an international citizen mobilisation is urgently needed sign the petition https://t.co/tx2PV3FOGg;0;['face', 'scourg', 'diabet', 'africa', 'intern', 'citizen', 'mobilis', 'urgent', 'need', 'sign', 'petit', 'URL']
drkevinedward;@MTL613 What type of diabetes do you have? Type 2 can be overcome by most.;1;['USER', 'type', 'diabet', 'TYPETWO', 'overcom']
socialypsycho;Great news for all diabetic patients now they take 100% sugar free green #NaturallyHealthy @SugarFreeIndia https://t.co/tQ0CgSA74l;0;['great', 'news', 'diabet', 'patient', 'take', '100', 'sugar', 'free', 'green', 'naturallyhealthi', 'USER', 'URL']
ojijoy4;@alhajitekno Please Bros,I need to take care of my sick mother(diabetes) please help a mother..God bless you;1;['USER', 'pleas', 'bros', 'i', 'need', 'take', 'care', 'my', 'sick', 'mother', 'diabet', 'pleas', 'help', 'mother', 'god', 'bless']
USSANews;Broccoli sprouts found to have significant impact in the treatment of type 2 diabetes - https://t.co/O4fEgemq7m;0;['broccoli', 'sprout', 'find', 'signific', 'impact', 'treatment', 'TYPETWO', 'diabet', 'URL']
RVAHealthDept;Exercise is an important part of #diabetes management. Learn more: https://t.co/eDjxE61m4V #healthtips #exercise;0;['exercis', 'import', 'part', 'diabet', 'manag', 'learn', 'URL', 'healthtip', 'exercis']
EyeResearchAus;CERA researchers receive Felton grant to improve care of pregnant women with diabetic retinopathy #vision https://t.co/nx5KYTbEpz;0;['cera', 'research', 'receiv', 'felton', 'grant', 'improv', 'care', 'pregnant', 'women', 'diabet', 'retinopathi', 'vision', 'URL']
grmeg;It's wild to think that in a daily basis, if I failed to treat a medical condition within 2~ hours I'd die. #actuallydiabetic #T1D;1;['wild', 'think', 'daili', 'basi', 'i', 'fail', 'treat', 'medic', 'condit', 'within', '2', 'hour', 'i', 'would', 'die', 'actuallydiabet', 'TYPEONE']
DrLilyKiswani;Is IME-9 medicine effective for a diabetic patient? by Lily Kiswani https://t.co/wN3alPRCKV;0;['ime', '9', 'medicin', 'effect', 'diabet', 'patient', 'lili', 'kiswani', 'URL']
news24tvchannel;Be careful..Deadly diabetes playing havoc in India, now strikes a new group #Diabetes.LancetStudy#India… https://t.co/AOQncgRpaq;0;['care', 'dead', 'diabet', 'play', 'havoc', 'india', 'strike', 'new', 'group', 'diabet', 'lancetstudyindia', 'URL']
JulieDuffy4;#Exercise alone won't make you lose weight https://t.co/TXZiscwfop #weightloss #diet #fitness #JunkFood #BigFood #jerf #obesity #diabetes;1;['exercis', 'alon', 'make', 'lose', 'weight', 'URL', 'weightloss', 'diet', 'fit', 'junkfood', 'bigfood', 'jerf', 'obes', 'diabet']
MissyHynes;@BenylinCA Hi Benylin! Thanks for making this medicine for a diabetic like myself. 😊;0;['USER', 'hi', 'benylin', 'thank', 'make', 'medicin', 'diabet', 'like', 'myself', 'EMOT_SMILE']
RobertVonRotz1;I added a video to a @YouTube playlist https://t.co/Sa06pCplj4 This leaf is a natural treatment for diabetes!;1;['i', 'add', 'video', 'USER', 'playlist', 'URL', 'leaf', 'natur', 'treatment', 'diabet']
ApplWatchNews;"#AppleWatch Future Apple Watch models to support glucose monitoring and smart bands - Gadgets &amp; Wearables https://t.co/y3AXWHWcWI";0;['applewatch', 'futur', 'appl', 'watch', 'model', 'support', 'glucos', 'monitor', 'smart', 'band', 'gadget', 'wearabl', 'URL']
adammanross;I dont want to live in a country that forces me to chose between insulin and food. #HoldTheFloor;1;['i', 'want', 'live', 'countri', 'forc', 'me', 'choos', 'insulin', 'food', 'holdthefloor']
DrAlexConcorde;MindSci: Small group of neurons modulates the amount of insulin that the pancreas must produce https://t.co/zZd7u6MTVY;0;['mindsci', 'small', 'group', 'neuron', 'modul', 'amount', 'insulin', 'pancrea', 'must', 'produc', 'URL']
GeekFestToronto;Technology: Stiffer soles are making life more comfortable for some diabetic patients https://t.co/A8PUcNw9KK;0;['technolog', 'stiffer', 'sole', 'make', 'life', 'comfort', 'diabet', 'patient', 'URL']
BananaBeltNW;Managing Diabetes|JDRF helping adults with type 1 diabetes|Lewiston Idaho|Get the picture of https://t.co/fLBtRZLzUC;0;['manag', 'diabet', 'jdrf', 'help', 'adult', 'TYPEONE', 'diabet', 'lewiston', 'idaho', 'get', 'pictur', 'URL']
OrbingPunk;Get yourself a girl who can do both. #workhardplayhard #gobig #doc #dsma #type1diabetes 👍🏻 https://t.co/IKsDdiHSl6;1;['get', 'girl', 'workhardplayhard', 'gobig', 'doc', 'dsma', 'TYPEONE', 'URL']
wtfpadron;To the dude who cut me in line for nizarios, i hope you feel good about cutting in front of a diabetic on the brink of hypoglycemia;0;['dude', 'cut', 'me', 'line', 'nizario', 'i', 'hope', 'feel', 'good', 'cut', 'front', 'diabet', 'brink', 'hypoglycemia']
jmclain0011;New evidence highlights the impact environmental factors can have on #type1diabetes https://t.co/7AOCqsL5N9;0;['new', 'evid', 'highlight', 'impact', 'environment', 'factor', 'TYPEONE', 'URL']
HSJnews;Getting the right model of care for diabetes https://t.co/6RyObC1U2O;0;['get', 'right', 'model', 'care', 'diabet', 'URL']
natalie_dv;How to Pronounce Levo-glucose ↺RT❤ https://t.co/I3R6MaDPC4 #;0;['pronounc', 'levo-glucos', 'rt', 'EMOT_LOVE', 'URL']
oraeekene;@Seyi__ Because when that kid grows up and has diabetes s/he'll probably be independent so parents won't bear the costs;1;['USER', 'kid', 'grow', 'diabet', 'probabl', 'independ', 'parent', 'bear', 'cost']
oliviajenkins4;"@driverRyanReed @Reed16Team Theres a kid on the other side of the meeting room with ur shirt on. I think he's diabetic too &amp; waiting for you";1;['USER', 'USER', 'kid', 'side', 'meet', 'room', 'ur', 'shirt', 'i', 'think', 'diabet', 'wait']
nicekriggs;Type 2 Diabetes Series | Life Threatening Complications https://t.co/tyspFfEnjk #health #type_2_diabetes https://t.co/7AGXY54vFs;0;['TYPETWO', 'diabet', 'seri', 'life', 'threaten', 'complic', 'URL', 'health', 'type', '_2_diabet', 'URL']
Lifescript;Did you know that nearly 33% of people with diabetes develop a related skin condition? In fact, a blister, fungal... https://t.co/jYXnUuCGks;0;['know', 'near', '33', 'peopl', 'diabet', 'develop', 'relat', 'skin', 'condit', 'fact', 'blister', 'fungal', 'URL']
Blackstarr163;Good day im still alive just took a shot of insulin #Fucdiabetes;1;['good', 'day', 'i', 'still', 'aliv', 'take', 'shoot', 'insulin', 'fucdiabet']
MariaLimardo;#Size-sensing protein controls #glucose uptake and storage in #fat cells https://t.co/Dy5CAgeLcx;1;['size-sens', 'protein', 'control', 'glucos', 'uptak', 'storag', 'fat', 'cell', 'URL']
FaulknersDrugs;Here's why there might be new #hope for those suffering from #type1 #diabetes: https://t.co/lMsb9mJFyS;0;['here', 'might', 'new', 'hope', 'suffer', 'TYPEONE', 'diabet', 'URL']
GlobalWeightMgt;Qld commission to tackle obesity, diabetes https://t.co/fgLrRV4IJe;0;['qld', 'commiss', 'tackl', 'obes', 'diabet', 'URL']
heraldscotland;Letters: The case for diabetes research https://t.co/fQlTEHeZgW;0;['letter', 'case', 'diabet', 'research', 'URL']
LifespanIO;A year after receiving a new type of islet cell transplant to treat her severe diabetes, a patient continues to... https://t.co/pjGQElzmQU;0;['year', 'receiv', 'new', 'type', 'islet', 'cell', 'transplant', 'treat', 'sever', 'diabet', 'patient', 'continu', 'URL']
Hasan_Tariq;Implanting pancreatic cells in your gut could cure diabetes https://t.co/VzM5sTcuCN;0;['implant', 'pancreat', 'cell', 'gut', 'could', 'cure', 'diabet', 'URL']
TolkieniteUK;@tim_cook would love to help with you CGM tests for #diabetes I'm a type one. Very active. Have a series 2 ⌚️ and iPhone 7 just need the CGM;1;['USER', 'would', 'love', 'help', 'cgm', 'test', 'diabet', 'i', 'TYPEONE', 'activ', 'seri', '2', 'iphon', '7', 'need', 'cgm']
Tom__Coleman;The Apple Watch could be revolutionary in the fight against diabetes: https://t.co/1WnAYmJDxk;0;['appl', 'watch', 'could', 'revolutionari', 'fight', 'diabet', 'URL']
TuesdayReyn;~it because my diabetes is out of control again. Why? Because insulin makes you fat and that caused my eating disorder to go insane ~;1;['my', 'diabet', 'control', 'insulin', 'make', 'fat', 'caus', 'my', 'eat', 'disord', 'go', 'insan']
DragonHunt68;@VAVetBenefits  Vietnam Vets came in contact with Agent Orange.  It caused diabetes in Vets. You limit blood sugar test strips to 3 per week;1;['USER', 'vietnam', 'vet', 'come', 'contact', 'agent', 'orang', 'caus', 'diabet', 'vet', 'limit', 'blood', 'sugar', 'test', 'strip', '3', 'per', 'week']
HomeCallMD;Living with #diabetes requires attention. #HomeHealth professionals can help you successfully manage the... https://t.co/ew8B7YNxO7;0;['live', 'diabet', 'requir', 'attent', 'homehealth', 'profession', 'help', 'success', 'manag', 'URL']
THannon1;Ironic that diabetes is a personal fault on same day Michelle Obama says 'Think about why someone is okay with your kids eating crap'.;1;['iron', 'diabet', 'person', 'fault', 'day', 'michell', 'obama', 'say', 'think', 'someon', 'okay', 'kid', 'eat', 'crap']
ugvyas00;@IndiaGateFoods what sort of measures should a diabetic patient should take? #IndiaGateSweetTalk;0;['USER', 'sort', 'measur', 'diabet', 'patient', 'take', 'indiagatesweettalk']
NepNews;Nepal tackles diabetic retinopathy - World Health Organization : https://t.co/GF47RCGubu;0;['nepal', 'tackl', 'diabet', 'retinopathi', 'world', 'health', 'organ', 'URL']
caraweelowrites;I don't care what anyone says, alhamdullilah for the NHS. I was given so much information and support on my diabetes today and feel blessed.;1;['i', 'care', 'anyon', 'say', 'alhamdullilah', 'nhs', 'i', 'give', 'much', 'inform', 'support', 'my', 'diabet', 'today', 'feel', 'bless']
helloalle;Oh now I know why: Oliver is diabetic! I've been crying all day! DO YOU LIKE LIFE I KNOW I DO.;1;['oh', 'i', 'know', 'oliv', 'diabet', 'i', 'cri', 'day', 'like', 'life', 'i', 'know', 'i']
UN_EWEC;"Air pollution contributes to the growing 🌎  burden of NCDs—e.g. heart &amp; lung diseases, cancer &amp; diabetes. #BeatNCDs… https://t.co/D4sNNmn7Pl";0;['air', 'pollut', 'contribut', 'grow', 'burden', 'ncds', 'e', 'g', 'heart', 'lung', 'diseas', 'cancer', 'diabet', 'beatncd', 'URL']
tyranny_news;Broccoli sprouts found to have significant impact in the treatment of type 2 diabetes - Tyranny News https://t.co/I1iWzBntON;0;['broccoli', 'sprout', 'find', 'signific', 'impact', 'treatment', 'TYPETWO', 'diabet', 'tyranni', 'news', 'URL']
Aschettino;3 tips to self-manage diabetes better - Knowridge https://t.co/dxd7bW88oQ;0;['3', 'tip', 'self-manag', 'diabet', 'better', 'knowridg', 'URL']
G301996;I've been out since 10 this morning and I've only just realised I've not brought my insulin... or taken any today... hahahahahaha fuck;1;['i', 'sinc', '10', 'morn', 'i', 'realis', 'i', 'bring', 'my', 'insulin', 'take', 'today', 'hahahahahaha', 'fuck']
MidVillageRx;Taking medications as prescribed can make all the difference and this is no different for those with diabetes,... https://t.co/NtQFU1ecKK;0;['take', 'medic', 'prescrib', 'make', 'differ', 'differ', 'diabet', 'URL']
amlmtg;@RussDiabo @Assimilated_Ego don't forget to pack Narcan, insulin, and molson black ice! +gas mask, sunglasses, hoody! cigarettes optional.;1;['USER', 'USER', 'forget', 'pack', 'narcan', 'insulin', 'molson', 'black', 'ice', 'gas', 'mask', 'sunglass', 'hoodi', 'cigarett', 'option']
nature;Editorial: Four Nature papers describe great promise in methods that advance diabetes treatment… https://t.co/lqfGUGf0IR;0;['editori', 'four', 'natur', 'paper', 'describ', 'great', 'promis', 'method', 'advanc', 'diabet', 'treatment', 'URL']
sergioDACED;Gene editing of rogue gut immune cells could benefit type 1 diabetes -- https://t.co/r2UjfUHN0d @Diabetescouk #diabetes #medicalscience;0;['gene', 'edit', 'rogu', 'gut', 'immun', 'cell', 'could', 'benefit', 'TYPEONE', 'diabet', 'URL', 'USER', 'diabet', 'medicalsci']
dralhubb;@MaskewK How come you've always got more insulin than me?! #T1D;1;['USER', 'come', 'alway', 'get', 'insulin', 'me', 'TYPEONE']
WTAE;Mother accused of neglecting daughter with diabetes https://t.co/MNTZb0s4Sz https://t.co/tGnwo0hY2i;0;['mother', 'accus', 'neglect', 'daughter', 'diabet', 'URL', 'URL']
BochmannLars;Challenges for the development of smart contact lens to measure glucose level https://t.co/NzeLKPxJW0 https://t.co/Dxt7iftcSZ;0;['challeng', 'develop', 'smart', 'contact', 'len', 'measur', 'glucos', 'level', 'URL', 'URL']
HealthierTalk;The one a day habit that DOUBLES your diabetes risk https://t.co/7GtT5nPEtG #beatingdiabetes;0;['one', 'day', 'habit', 'doubl', 'diabet', 'risk', 'URL', 'beatingdiabet']
NHFTNHSLibrary;"A safer #Ramadan https://t.co/uz3Bm5qOpy Advice on #diabetes &amp; #fasting";0;['safer', 'ramadan', 'URL', 'advic', 'diabet', 'fast']
WBA2k10;Safety of glucagon-like peptide 1 receptor agonists in type 2 diabetes - Medivizor https://t.co/Ft01JR63H7;0;['safeti', 'glucagon-lik', 'peptid', '1', 'receptor', 'agonist', 'TYPETWO', 'diabet', 'medivizor', 'URL']
fairly_focused;Happy diabirthday to me. I was diagnosed 22 years ago today. Lucky me it was Oct. Fri.13th. Talk about spooky. #t1d #diabetes #FridayThe13th;1;['happi', 'diabirthday', 'me', 'i', 'diagnos', '22', 'year', 'ago', 'today', 'lucki', 'me', 'oct', 'fri', '13th', 'talk', 'spooki', 'TYPEONE', 'diabet', 'fridayth', '13th']
FionaMcnd;@LaraBriden So true. We run a lot of the Insulin Glucose tolerance tests with 75 grams glucose and the results are… https://t.co/aCgJ9SDseR;1;['USER', 'true', 'run', 'lot', 'insulin', 'glucos', 'toler', 'test', '75', 'gram', 'glucos', 'result', 'URL']
0ptimalHealth;These are our favorite kind of stories! #neuropathy #nervedamage #nervepain #treatment #success #patients #diabetes… https://t.co/tRuubjIk29;0;['favorit', 'kind', 'stori', 'neuropathi', 'nervedamag', 'nervepain', 'treatment', 'success', 'patient', 'diabet', 'URL']
